version,trial,kills,deaths,wave,alive,hp,enemyCount,durationSec,avgFps,minFps,maxEnemies,botType,levelId,mode,aimbotOff,jsonlFile,corrBuckets
version,trial,kills,deaths,wave,alive,hp,enemyCount,durationSec,avgFps,minFps,maxEnemies,botType,levelId,mode,aimbotOff,jsonlFile,corrBuckets
v22.8,5,34,14,0,0,0,69,100,58.0,43.1,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t5.jsonl,2
v22.8,6,21,14,0,0,0,71,99,58.0,42.4,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t6.jsonl,2
v22.8,7,28,13,0,1,1,70,100,58.2,43.7,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t7.jsonl,2
v22.8,8,21,14,0,0,0,71,99,58.2,44.6,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t8.jsonl,2
v22.8,9,28,13,0,1,1,70,99,58.4,45.7,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t9.jsonl,2
v22.8,10,28,13,0,1,1,70,99,59.4,53.8,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t10.jsonl,2
v22.8,11,28,14,0,0,0,69,99,58.6,49.0,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t11.jsonl,0
v22.8,12,30,14,0,0,0,70,99,58.2,40.0,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t12.jsonl,0
v22.8,13,26,14,0,1,1,70,100,59.4,39.8,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t13.jsonl,0
v22.8,14,28,14,0,1,1,72,99,58.4,47.8,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t14.jsonl,0
v22.8,15,34,14,0,1,1,72,99,59.5,49.9,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t15.jsonl,0
v22.8,16,29,14,0,1,1,72,99,58.4,43.9,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t16.jsonl,0
v22.8,17,23,14,0,1,1,72,99,58.4,49.3,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t17.jsonl,0
v22.8,18,28,13,0,1,1,70,100,58.7,47.3,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t18.jsonl,0
v22.8,19,32,13,0,1,1,71,99,58.6,47.8,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t19.jsonl,0
v22.8,20,27,15,0,0,0,70,99,59.5,52.0,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t20.jsonl,0
v22.8,21,34,14,0,1,1,71,99,59.6,56.2,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t21.jsonl,0
v22.8,22,24,14,0,1,1,72,100,58.4,47.7,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t22.jsonl,0
v22.8,23,29,14,0,0,0,70,99,58.2,39.7,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t23.jsonl,2
v22.8,24,26,14,0,1,1,71,100,59.6,55.5,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t24.jsonl,0
v22.8,25,35,13,0,1,1,70,100,58.7,49.1,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t25.jsonl,0
v22.8,26,31,13,0,1,1,70,100,59.4,53.4,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t26.jsonl,2
v22.8,27,30,14,0,1,1,72,100,59.0,49.9,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t27.jsonl,2
v22.8,28,28,13,0,1,1,69,98,58.3,48.4,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t28.jsonl,2
v22.8,29,24,13,0,1,1,70,100,58.1,42.3,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t29.jsonl,2
v22.8,30,23,14,0,0,0,69,100,58.2,43.9,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t30.jsonl,2
